visaSubclassCode,visaSubclassText,visaSubclassSort,visaCategory,streamCode,streamText,percent75,percent90,percent25,percent50,updated,endDate,additionalInfo
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,47,Foreign Affairs or Defence Sector,5 Days,25 Days,1 Day,2 Days,27 August 2024,31 July 2024,
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,45,Postgraduate Research Sector,4 Months,7 Months,7 Days,30 Days,27 August 2024,31 July 2024,
100,<a href='/visas/getting-a-visa/visa-listing/partner-offshore/migrant-100'>100 - Partner (Migrant) visa (subclass 100)</a>,100 - Partner (Migrant) visa (subclass 100),Family,,,13 Months,20 Months,7 Months,10 Months,27 August 2024,31 July 2024,<p>The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.<br></p>​<br>
101,<a href='/visas/getting-a-visa/visa-listing/child-101'>101 - Child (subclass 101)</a>,101 - Child (subclass 101),Family,,,24 Months,26 Months,14 Months,18 Months,27 August 2024,31 July 2024,
102,<a href='/visas/getting-a-visa/visa-listing/adoption-102'>102 - Adoption (subclass 102)</a>,102 - Adoption (subclass 102),Family,,,9 Months,16 Months,3 Months,5 Months,27 August 2024,31 July 2024,
124,<a href='/visas/getting-a-visa/visa-listing/distinguished-talent-124'>124 - Distinguished Talent (subclass 124)</a>,124 - Distinguished Talent (subclass 124),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,27 August 2024,31 July 2024,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/significant-business-history-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,1,Significant Business History,52 Months,54 Months,36 Months,44 Months,27 August 2024,31 July 2024,
117,<a href='/visas/getting-a-visa/visa-listing/orphan-relative-117'>117 - Orphan Relative (subclass 117)</a>,117 - Orphan Relative (subclass 117),Family,,,70 Months,88 Months,23 Months,34 Months,27 August 2024,31 July 2024,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/venture-capital-entrepreneur-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,2,Venture Capital Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,27 August 2024,31 July 2024,
155,<a href='/visas/getting-a-visa/visa-listing/resident-return-visa-155-157'>155 - Resident Return 5 Year (subclass 155)</a>,155 - Resident Return 5 Year (subclass 155),Resident Return/ADV,,,3 Days,14 Days,Less than 1 Day,Less than 1 Day,27 August 2024,31 July 2024,"<p>​Generally, applications that meet the residence requirements will be processed within 5 working days from lodgement. Applications that do not meet the residence requirement will take longer to finalise.​<br></p>"
157,<a href='/visas/getting-a-visa/visa-listing/resident-return-visa-155-157'>157 - Resident Return 3mth  (subclass 157)</a>,157 - Resident Return 3mth  (subclass 157),Resident Return/ADV,,,51 Days,71 Days,10 Days,18 Days,27 August 2024,31 July 2024,
159,159 - Provisional Resident Return  (subclass 159),159 - Provisional Resident Return  (subclass 159),Resident Return/ADV,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,31 August 2023,28 February 2023,
186,<a href='/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/direct-entry-stream'>186 - Employer Nomination Scheme visa (subclass 186)</a>,186 - Employer Nomination Scheme visa (subclass 186),Skilled,3,Direct Entry Pathway,5 Months,9 Months,86 Days,4 Months,27 August 2024,31 July 2024,
186,<a href='/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/labour-agreement-stream'>186 - Employer Nomination Scheme visa (subclass 186)</a>,186 - Employer Nomination Scheme visa (subclass 186),Skilled,4,Agreement Pathway,3 Months,4 Months,61 Days,73 Days,27 August 2024,31 July 2024,
186,<a href='/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/temporary-residence-transition-stream'>186 - Employer Nomination Scheme visa (subclass 186)</a>,186 - Employer Nomination Scheme visa (subclass 186),Skilled,5,Transition Pathway,11 Months,14 Months,4 Months,6 Months,27 August 2024,31 July 2024,
187,<a href='/visas/getting-a-visa/visa-listing/regional-sponsor-migration-scheme-187/direct-entry-stream'>187 - Regional Sponsor Migration Scheme (subclass 187)</a>,187 - Regional Sponsor Migration Scheme (subclass 187),Skilled,6,Direct Entry Pathway,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,27 August 2024,31 July 2024,
187,<a href='/visas/getting-a-visa/visa-listing/regional-sponsor-migration-scheme-187/temporary-residence-transistion-stream'>187 - Regional Sponsor Migration Scheme (subclass 187)</a>,187 - Regional Sponsor Migration Scheme (subclass 187),Skilled,8,Transition Pathway,11 Months,18 Months,6 Months,9 Months,27 August 2024,31 July 2024,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/business-innovation-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,9,Business Innovation,35 Months,48 Months,25 Months,30 Months,27 August 2024,31 July 2024,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/investor-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,10,Investor,48 Months,53 Months,34 Months,37 Months,27 August 2024,31 July 2024,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/significant-investor-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,11,Significant Investor,32 Months,35 Months,24 Months,28 Months,27 August 2024,31 July 2024,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/premium-investor'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,39,Premium Investor,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,27 August 2024,31 July 2024,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/entrepreneur-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,48,Entrepreneur,20 Months,24 Months,12 Months,16 Months,27 August 2024,31 July 2024,
190,<a href='/visas/getting-a-visa/visa-listing/skilled-nominated-190'>190 - Skilled Nominated   (subclass 190)</a>,190 - Skilled Nominated   (subclass 190),Skilled,,,16 Months,17 Months,15 Months,16 Months,27 August 2024,31 July 2024,
300,<a href='/visas/getting-a-visa/visa-listing/prospective-marriage-300'>300 - Prospective Marriage  (subclass 300)</a>,300 - Prospective Marriage  (subclass 300),Family,,,16 Months,26 Months,9 Months,12 Months,27 August 2024,31 July 2024,
309,<a href='/visas/getting-a-visa/visa-listing/partner-offshore/provisional-309'>309 - Partner (Provisional)  (subclass 309)</a>,309 - Partner (Provisional)  (subclass 309),Family,,,19 Months,25 Months,10 Months,13 Months,27 August 2024,31 July 2024,<p>We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.<br></p>​<br>
400,<a href='/visas/getting-a-visa/visa-listing/temporary-work-400'>400 - Temporary Work (short stay) (subclass 400)</a>,400 - Temporary Work (short stay) (subclass 400),Temporary Resident (Other Employment),,,11 Days,19 Days,5 Days,7 Days,27 August 2024,31 July 2024,
403,<a href='/visas/getting-a-visa/visa-listing/temporary-work-403/government-agreement'>403 - Temporary Work (International Relations) (subclass 403)</a>,403 - Temporary Work (International Relations) (subclass 403),Temporary Resident (Other Employment),24,Government Agreement,17 Days,36 Days,6 Days,9 Days,27 August 2024,31 July 2024,
