Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
100 - Partner (Migrant) visa (subclass 100),,8 Months,12 Months,16 Months,27 Months,The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times. ​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
101 - Child (subclass 101),,8 Months,9 Months,11 Months,24 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
102 - Adoption (subclass 102),,7 Months,11 Months,19 Months,27 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
117 - Orphan Relative (subclass 117),,25 Months,42 Months,58 Months,107 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
124 - Distinguished Talent (subclass 124),,20 Months,21 Months,23 Months,27 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
132 - Business Talent (subclass 132),Significant Business History,22 Months,37 Months,39 Months,40 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
132 - Business Talent (subclass 132),Venture Capital Entrepreneur,14 Months,19 Months,35 Months,40 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
155 - Resident Return 5 Year (subclass 155),,Less than 1 Day,Less than 1 Day,Less than 1 day,79 Days,"​Generally, applications that meet the residence requirements will be processed within 5 working days from lodgement. Applications that do not meet the residence requirement will take longer to finalise.​",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
157 - Resident Return 3mth (subclass 157),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
159 - Provisional Resident Return (subclass 159),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
186 - Employer Nomination Scheme visa (subclass 186),Direct Entry Pathway,4 Months,6 Months,10 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
186 - Employer Nomination Scheme visa (subclass 186),Agreement Pathway,72 Days,3 Months,5 Months,6 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
186 - Employer Nomination Scheme visa (subclass 186),Transition Pathway,6 Months,11 Months,21 Months,28 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
187 - Regional Sponsor Migration Scheme (subclass 187),Direct Entry Pathway,29 Months,32 Months,50 Months,57 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
187 - Regional Sponsor Migration Scheme (subclass 187),Transition Pathway,13 Months,17 Months,25 Months,28 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Business Innovation,15 Months,17 Months,33 Months,37 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Investor,21 Months,29 Months,34 Months,40 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Significant Investor,7 Months,10 Months,15 Months,22 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Premium Investor,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Entrepreneur,88 Days,4 Months,5 Months,9 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Business Innovation Extension,7 Months,8 Months,10 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Significant Investor Extension,59 Days,4 Months,7 Months,13 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
189 - Skilled Independent (subclass 189),Points-Tested,34 Days,3 Months,37 Months,45 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
189 - Skilled Independent (subclass 189),New Zealand,20 Months,21 Months,23 Months,25 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
190 - Skilled Nominated (subclass 190),,3 Months,3 Months,6 Months,11 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
300 - Prospective Marriage (subclass 300),,8 Months,12 Months,26 Months,37 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
309 - Partner (Provisional) (subclass 309),,10 Months,14 Months,29 Months,38 Months,The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times. ​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
400 - Temporary Work (short stay) (subclass 400),,3 Days,12 Days,26 Days,37 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Government Agreement,8 Days,16 Days,27 Days,83 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Foreign Government Agency,9 Days,31 Days,5 Months,13 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Domestic Worker (Diplomatic or Consular),Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Privileges and Immunities,8 Days,14 Days,28 Days,6 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Pacific Australia Labour Mobility Scheme,4 Days,6 Days,10 Days,14 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
407 - Training visa (subclass 407),,5 Months,16 Months,28 Months,31 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Entertainment Activities,4 Days,9 Days,15 Days,30 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Research Activities,8 Days,18 Days,37 Months,38 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Religious Work,85 Days,4 Months,8 Months,21 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Special Programs,5 Days,12 Days,51 Days,22 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Invited for Other Social and Cultural Activity,2 Days,6 Days,14 Days,24 Days,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Australian Government Endorsed Events,67 Days,7 Months,9 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Exchange Arrangements,27 Days,38 Days,6 Months,26 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Superyacht Crew,2 Days,5 Days,18 Days,24 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Domestic Work for Executives,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Sporting Activities,8 Days,22 Days,34 Days,21 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
417 - Working Holiday (subclass 417),,Less than 1 Day,Less than 1 Day,8 Days,44 Days,"For Visitors and Working Holiday Makers the processing time is calculated differently depending on when you applied. If you applied before the border reopened, then the processing time is calculated from the date you became eligible to travel. If you applied after the border reopened, then the processing time is calculated from the date you applied.​",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445 - Dependent Child (subclass 445),,4 Months,6 Months,7 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
461 - NZ Citizen Family Relationship (subclass 461),,11 Months,26 Months,31 Months,36 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
462 - Work and Holiday (subclass 462),,26 Days,43 Days,65 Days,8 Months,"For Visitors and Working Holiday Makers the processing time is calculated differently depending on when you applied. If you applied before the border reopened, then the processing time is calculated from the date you became eligible to travel. If you applied after the border reopened, then the processing time is calculated from the date you applied.​",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
476 - Skilled - Recognised Graduate (subclass 476),,36 Months,37 Months,39 Months,41 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Short-term,44 Days,3 Months,6 Months,11 Months,"Currently, the Department is prioritising applications on the Priority Migration Skilled Occupation List (PMSOL), those in critical sectors as per Ministerial Directions and for applicants outside Australia. In August 2022, 50 per cent of applications where the client is outside Australia were finalised in 66 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
